Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
Christine Watson,Untitled,1967,20th century; 1960s,Portrait of a man,graphite (mineral)/inorganic material/materials (substances); paint (coating); pastels (crayons)/crayons (drawing material),51cm H x 32 cm W (with mount) 49cm H x 30cm W (without mount),Art Collection; Edinburgh College of Art,mixed media works,NA,EU2647,https://collections.ed.ac.uk/art/record/21772?highlight=*:*,NA,NA,NA
Christopher Waite,Reclining and Seated Female Nudes,1994,20th century; 13,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),167.6 x 122 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1620,https://collections.ed.ac.uk/art/record/20747?highlight=*:*,NA,NA,NA
Ciaran O'Nuallian,Untitled,Unknown,NA,Photographic print on high gloss paper of light refraction. Digital print.,Print,NA,Art Collection; Art Collection; Edinburgh College of Art,prints (visual works),No signature or edition information,EU5199,https://collections.ed.ac.uk/art/record/99971?highlight=*:*,NA,NA,NA
Claire Alexander,Unknown,NA,NA,"Two birds. One on a rock and in profile, the other facing the viewer",chalk,51cm (W) x 77.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); chalk drawings,NA,EU3317,https://collections.ed.ac.uk/art/record/50391?highlight=*:*,NA,NA,NA
Claire E. Banks,Untitled,1989,20th century; 1980s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); figure painting,NA,EU3110,https://collections.ed.ac.uk/art/record/22555?highlight=*:*,NA,NA,NA
Claire Lindsay,Untitled,2005,2000s,"Square format screenprint, pale blue background with abstract paint mark print in black overlaying it.",Print,NA,Art Collection; Edinburgh College of Art,screen prints,Edition 11/30,EU5095,https://collections.ed.ac.uk/art/record/99868?highlight=*:*,NA,NA,NA
Claudia Petretti,Portrait in Green,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,pencil drawings; watercolours (paintings),NA,EU2312,https://collections.ed.ac.uk/art/record/21438?highlight=*:*,NA,NA,NA
Claudia Petretti,Portrait of a Man,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2315,https://collections.ed.ac.uk/art/record/21441?highlight=*:*,NA,NA,NA
Claudia Petretti,Man Sleeping,NA,NA,NA,chalk; graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,chalk drawings; pencil drawings,NA,EU2351,https://collections.ed.ac.uk/art/record/21477?highlight=*:*,NA,NA,NA
Claudia Petretti,Man in Black,NA,NA,NA,pastels (crayons)/crayons (drawing material); chalk; paper (fibre product),NA,Art Collection; Edinburgh College of Art,pastel; chalk drawings,NA,EU2356,https://collections.ed.ac.uk/art/record/21482?highlight=*:*,NA,NA,NA
Clement Pappi,Gates of Paradise,1835,19th century; 1830s,"1st mould; 2nd strike (1st strike to French Academy, Rome). Seamline identical to cast in the Ecole National superior de Beaux-Arts, Paris. Vincent Butler carried out various repairs and retouched the paint at various dates (VB to MS, 16.3.08). Cast from an original :East Doors of Florence Baptistery, ('Porta Del Paradiso'), 1424-52, Museo dell'Opera del Duomo, Florence, by Lorenzo Ghiberti, Michelozzo, Vittorio Ghiberti et al., Gilt bronze, 5.18m high, 2 doors, 10 panels. 2 lowest panels (David, and Soloman and the Queen of Sheba) missing; photgraphed in the Sculpture Gallery of the Royal Institution in late 19th-century.also the decorated jambs of the architrave do not appear to have been included in the original casting. Published: The Scotsman, 3 Feb 1913. Smailes, Helen, Journal of the History of Collections (1991), 3 (2): 125-143, doi: 10.1093/jhc/3.2.125.",Casting Plaster/plaster/coating (material)/materials (substances); Patina,NA,Art Collection; Edinburgh College of Art; Cast Collection,NA,NA,EU1450,https://collections.ed.ac.uk/art/record/20577?highlight=*:*,East Doors of Florence Baptistery; Ghiberti Doors,NA,NA
Clement Pappi,Dying Adonis,Pre 1837,19th century; 1820s; 1830s,"Cast from an original: Adone morente, Museo Nazionale del Bargello, Florence, by Vincenzo de' Rossi (1525-1587), Marble formerly at Villa Poggio Imperiale, formerly attributed to Michelangelo, now generally attributed to Vincenzo de' Rossi. 4 seamlines.",Casting Plaster/plaster/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art; Cast Collection,NA,NA,EU1469,https://collections.ed.ac.uk/art/record/20596?highlight=*:*,Adone morente; Adonis mourant,NA,NA
Colin A. Lawson,Untitled,1981,1980s,"Graphite drawing of interior space, stairwell.",graphite (mineral)/inorganic material/materials (substances),Measurements include mount,Art Collection; Art Collection; Edinburgh College of Art,drawings (visual works); drawings 1901-2000,Signature seen on bottom right handside of mount,EU4294,https://collections.ed.ac.uk/art/record/99530?highlight=*:*,NA,NA,NA
Colin A. Lawson,Passage with Stacks and Artificial Light,1981,20th century; 1980s,NA,Oil on Board/oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3109,https://collections.ed.ac.uk/art/record/22554?highlight=*:*,NA,NA,NA
Colin Adams,Border Fancy,1979,20th century; 1970s,Abstract print,NA,91.7cm H x 79.8cm W (with mount) 76cm H x 56.4cm W (without mount),Art Collection; Edinburgh College of Art,prints (visual works),Colin Adams signature,EU2505,https://collections.ed.ac.uk/art/record/21630?highlight=*:*,NA,NA,NA
Colin Brown,Sketch of Window for Final Composition,NA,20th century,Head and shoulders portrait of young male figure in red shirt. Body turned towards the left of the composition but facing the viewer. Interior wall and window in background.,oil paint (paint)/paint (coating),30.4cm (H) x 40.6cm (W),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3658,https://collections.ed.ac.uk/art/record/53567?highlight=*:*,NA,NA,NA
Colin Brown,Unknown,NA,20th century,Industrial scene with corrugated iron building to left of composition and large conveyor belt with wheel engine to right.,oil paint (paint)/paint (coating),30.4cm (W) x 40.6cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3656,https://collections.ed.ac.uk/art/record/53565?highlight=*:*,NA,NA,NA
Colin Brown,Sketch for Final Composition,NA,20th century,"An empty train station from the perspective of standing on the tracks. Awnings on stilts on left and right of composition and large wall with three tunnels in the background, into which the tracks lead.",oil paint (paint)/paint (coating),40.6cm (W) x 30.4cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3657,https://collections.ed.ac.uk/art/record/53566?highlight=*:*,NA,NA,NA
Colin Campbell,House and Garden,NA,NA,NA,watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,watercolours (paintings),NA,EU2309,https://collections.ed.ac.uk/art/record/21435?highlight=*:*,NA,NA,NA
Colin Lawson,Seated Female Nude,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1647,https://collections.ed.ac.uk/art/record/20774?highlight=*:*,NA,NA,NA
Colin Montgomery,Damn blast and a side order of damn,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3100,https://collections.ed.ac.uk/art/record/22545?highlight=*:*,NA,NA,NA
Colin Stewart,Seated Female Nude,NA,NA,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2299,https://collections.ed.ac.uk/art/record/21425?highlight=*:*,NA,NA,NA
Colin Turner,Portrait of a Woman,1957,20th century; 1950s,NA,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2017,https://collections.ed.ac.uk/art/record/21144?highlight=*:*,NA,NA,NA
Colin Turner,Portrait of a Woman,1957,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2016,https://collections.ed.ac.uk/art/record/21143?highlight=*:*,NA,NA,NA
Colin Turner,Seated Female Nude,1957,20th century; 1950s,Gained his Diploma from ECA in 1957.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1839,https://collections.ed.ac.uk/art/record/20966?highlight=*:*,NA,NA,NA
Colin Vernall,Untitled,NA,NA,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3186,https://collections.ed.ac.uk/art/record/22631?highlight=*:*,NA,NA,NA
Connie Dearness,Of Christine Clay,1964,1960s; 20th century,"Head and shoulders portrait of female figure in three-quarter view, looking towards right of composition. Figure is wearing a shirt with top button fastened and open jacket. Shoulder length hair.",graphite (mineral)/inorganic material/materials (substances),23cm (W) x 38cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3674,https://collections.ed.ac.uk/art/record/53583?highlight=*:*,NA,NA,NA
Crosier,Untitled,03 Jul 2014,NA,Pencil drawing of a woman,graphite (mineral)/inorganic material/materials (substances),27.4cm H 22.7cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"Bottom right hand corner of border the artists name has been written in pen, along with course initials and date. Below this the artist’s name has been written in pencil, next to a yellow sticker. Nothing on the back.",EU2953,https://collections.ed.ac.uk/art/record/22494?highlight=*:*,NA,NA,NA
D Forest,Portrait of a Woman,1952,20th century; 1950s,Drawing from an ECA examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2075,https://collections.ed.ac.uk/art/record/21202?highlight=*:*,NA,NA,NA
D G Seymour,Standing Female Nude,1957,20th century; 1950s,Gained a Diploma from ECA in 1957.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1836,https://collections.ed.ac.uk/art/record/20963?highlight=*:*,NA,NA,NA
D Stewart Lowdon,Portrait of a Woman,1954,20th century; 1950s,From Diploma examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2087,https://collections.ed.ac.uk/art/record/21214?highlight=*:*,NA,NA,NA
D Stewart Lowdon,Seated Female Nude,1954,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2114,https://collections.ed.ac.uk/art/record/21241?highlight=*:*,NA,NA,NA
D W Durwand,Portrait of a Woman,1958,20th century; 1950s,Gained a Diploma in 1958 from ECA.,chalk,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1827,https://collections.ed.ac.uk/art/record/20954?highlight=*:*,NA,NA,NA
D. Ganley,Untitled,Unknown,NA,"A building explosion, with missiles falling.",NA,56.5cm H x 76.5cm W,Art Collection; Edinburgh College of Art,NA,D. Ganley signature,EU2731,https://collections.ed.ac.uk/art/record/21854?highlight=*:*,NA,NA,NA
D. Gordon Campbell,Unknown,1953,1950s; 20th century,"Studies of reclining male nude figure on back with legs raised and head/right arm closest to the viewer. Full length portrait at centre of composition, with closer studies of head and right hand at bottom.",graphite (mineral)/inorganic material/materials (substances),20.2cm (W) x 31.8cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3640,https://collections.ed.ac.uk/art/record/53549?highlight=*:*,NA,NA,NA
D. Gordon Campbell,Unknown,1954,1950s; 20th century,Semi-abstracted view of figures standing beside a large fountain with buildings in background.,watercolour (paint)/paint (coating),50cm (W) x 35cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3560,https://collections.ed.ac.uk/art/record/50634?highlight=*:*,NA,NA,NA
D. Gordon Campbell,Portrait Figure Sitting,1952,20th century; 1950s,Seated figure,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3062,https://collections.ed.ac.uk/art/record/22508?highlight=*:*,NA,NA,NA
D. Gordon Campbell,Still Life Apples,1953,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3229,https://collections.ed.ac.uk/art/record/22674?highlight=*:*,NA,NA,NA
Daisy Lafarge,Not For Gain,2016,NA,"Lafarge’s interest in ecological and social relationships are a recurrent theme in her work, the two often merging so as to become indistinguishable from each other. Plant hunting and the Victorian desire to collect, categorise and ultimately control specimens is a particular area of focus in Lafarge’s research. The repeated use of the terms ‘garden’ and ‘borders’ in Not For Gain’s narration hints at themes of nationalism, migration and imperialism.",Film,NA,Art Collection; Edinburgh College of Art,NA,NA,EU3998,https://collections.ed.ac.uk/art/record/99238?highlight=*:*,NA,NA,NA
Daisy Richardson,Untitled,2006,2000s,Mixed media print with paper collaged on top with additional panels of semi-transparent material afixed on either edge.,mixed media/materials (substances); Print,NA,Art Collection; Edinburgh College of Art,mixed media works,Edition 11/30,EU5093,https://collections.ed.ac.uk/art/record/99866?highlight=*:*,NA,NA,NA
Daisy Silver,Minoan Fertility Goddess Figurines,2017,NA,"Set of seven ceramic figurines of varying sizes. Recreations of artefacts from ancient cultures. Awarded University of Edinburgh Acquisition Award 2017 All seven pieces were created with terracotta clay by coil building and were glazed. The colour of the glazes and the poses of the figures were inspired by real historic artefacts. For example, the red figurine is inspired by ‘Terracotta model of a woman seated at an oven, 500 BC’ displayed in the British Museum. Red was a colour normally reserved for male flesh but the figure was perhaps painted red because she is watching a loaf of bread bake in an oven. The poses of these seven figures were inspired most directly from Syrian artefacts 1100 BC, Iron Age II figures from the Bethlehem tomb 7th c BC and Cypriot figures 1700-1200 BC. Accompanying text upon installation reads: Minoan Fertility Goddess Figurines Excavated in 1967 from a sanctuary site outside of Akrotiri, Santorini (1700 - 1400 BCE) Associated with the practises of mystery cult ritual, these figurines were left as votive offerings by girls as a coming of age ceremony before marriage. The island of Santorini was a major centre of trade, which developed into a pilgrimage site for peoples in the Minoan cultural sphere. The range of glaze colours and poses of the figurines are a result of the diverse groups that travelled to this sanctury site. The more reserved poses are associated with the peoples of Santorini, while the female empowerment stances are attributed to Crete. The blue gaze later developed as an attempt to mimic the colour of the semi-precious stone, lapis lazuli that was introduced to the Cylades as a result of intense contact with Phoenician traders. These later figurines manifested as physical depictions of goddesses instead of simply votive.",ceramic (material)/clay/inorganic material/materials (substances),Figure 1: Figure 2: Figure 3: Figure 4: Figure 5: Figure 6: Figure 7:,Art Collection; Edinburgh College of Art,sculpture; sculpture,NA,EU5592,https://collections.ed.ac.uk/art/record/100015?highlight=*:*,NA,NA,NA
Daniel Cook,The King and I,2017,NA,"Artist's statement: The King and I was the development of a short film initially shown at the Talbot Rice Gallery as part of the Edinburgh College of Art MFA Contemporary Art Interim Show in May 2016. It gave the viewer a taste of the premiere to be shown at the ECA degree show in May 2017. The film is a documentary giving a glimpse of the life of Graham Croan Bee, a well-known eccentric and artist based in Edinburgh’s New Town. The documentary is framed inside Graham’s home; a place that runs on a time zone different from the rest of society. Upon entering one is transported into Graham’s environment which he has carefully constructed resembling an exotic grotto; it is Graham’s world. Two other characters also have been a main influence on the documentary: Barrett, who made a brief appearance during the initial stages of filming, and Juliette, Graham’s closest friend. As an ongoing project the film went through many different phases of documentary and profilmic experimentation before culminating into a taster, a brief glimpse of Graham’s life in 2016. The nature of the project has been to work experimentally with collaboration, performance and documentary. The use of these techniques — specifically, the profilmic aspects in cinematography such as cinema verite; mise en scenes and experimental interviews — has aided me in developing my practice as both filmmaker and artist. They are central to the overall development of the video and project, they inspired my academic research in the field of documentary and filmmaking. I visited Barrett (one of Graham’s lodgers and friends) whilst he was living in Graham’s guest room. Having been evicted from his flat in Leith he was dealing with many complex personal issues and self-medicating with alcohol. Barrett offered me a tour of the house which I captured surreptitiously on a hand held camera. As a gesture of welcome Barrett offered me a mysterious spirit in one of his recycled bottles and so began the documentary. In those moments the shakily-held hand camera captured natural light and shady corners of the corridors and kitchen as I followed Barrett, crashing around from one room to the next, occasionally stopping to discuss the various aspects of Graham’s character and possessions. During one of the visits to the house it occurred to me that whilst still developing a relationship with both Graham and Barrett, it was very difficult to get the coverage I wanted due to the chaotic nature of both their lives. Frustratingly, on several occasions opportunities were missed to capture some exciting moments. On one such occasion, Barrett had been in a confrontation over the ownership of his flat in Leith which culminated in a fight involving the police. The following morning, due for court Barret was accompanied by Graham, minus the slightly dishevelled faces they both appeared immaculately dressed. It was the fleeting moments like this that I was disappointingly unable to capture. Later Barrett showed me his battered hand and bruised legs recounting the tale of when he had been hit with a hammer by his lodger. In November 2015 Graham disappeared for two months. In his absence Barrett watched over the house while preoccupied with some promiscuous visitors that came and went. During that time a series of escalating events led to visits from the police, and eventually led to him vacating the property for a rehab programme. The house remained unattended for months. It wasn’t until later when Graham returned, looking rather brown from the tanning beds and everything was seemingly back to normal, that we decided to seriously pursue shooting a film. Barrett was omitted from the edit due to his absence and instead I met Graham’s friend Juliet. Juliet holds many similar interests and beliefs to Graham and all three of them at one point had intertwined histories, she often stepped in when things had got out of hand. Our first meeting had been arranged to visit one of her properties in the New Town. Before entering the building I could spot Juliet’s old bashed up green station wagon, that was haphazardly parked on the street outside. The building’s exterior was adorned by overgrowth and had an old Georgian façade; the interior was classically dressed in ornate furnishings and a grand chandelier hung in the central hall. This contrasted with Juliet whom I met standing in the stairwell with her Pug called Bella carried under one arm. Her style, much like Graham’s was very eclectic — sporting myriads of golden jewelry and thick makeup. She wore a glamourous fur jacket with some more casual garments underneath including a pair of leopard print leggings and pink kitsch trainers. The chat was fast paced and stories were turned over quickly as they had a ‘catch up’. The two hit it off with their banter and I immediately saw the potential for involving her in the film. She was very keen and well-spoken, having previously been educated at Fettes. She was a well-connected character but with a down to earth Edinburgh charm about her. During the project, she provided many engaging moments and openly shared her relationship with Graham on camera. I’m grateful for her involvement and could not have completed the film without it. Another important collaborator I would like to mention was the Curator, James Clegg. He helped adapt some scripted dialogue within the film. The words were then vocalised by the singer/songwriter Fae Fife from The Rezillos punk band. The soundtrack was created by my brother Fergus Cook who is a musician and producer also tied together the final film. This with the scripted dialogue created the feeling of fluidity throughout the video, while giving the vague experience of performance. The fascinating backdrop of Graham’s house was difficult to capture and to recreate the true experience of being there in person amongst his mass of furnishings and objects. I felt restricted by the single screen projection as I wanted to show the complicated and unusual nature of Graham’s environment, alongside engaging with his character on screen. Using a two-panel diptych composed of two 16:9 screens I gave the film a cinematic quality with an almost panoramic grandeur and scale. This became the permanent format for the video. In some cuts we watch an intimate moment with Graham as the other camera wanders around the house in search of other parts of his ambiguous character. Books, objects, antiques, plant arrangements, pictures and photographs, combined with the cramming of furnishings, alter and change the space, robbing it of time and perspective. In other sections of the video I used two cameras to film one scene from two different perspectives opening up the scenes for multiple analysis. The plurality of the two screens give the feeling of a more staged performance as it heightens the atmosphere theatrically. It de-personalises the reality of the characters into that of actors. At this point I was drawn to performance and the ‘performative reality’ surrounding The King and I.",NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU5600,https://collections.ed.ac.uk/art/record/100021?highlight=*:*,NA,NA,NA
Daniel Hughes,Red Faced,2014,NA,"The expression on the bright red plaster ‘face’ is unnervingly elusive. The puckered mouth and wide-eyes can be equally read as displaying fear, sadness or anxiety, whilst the colour choice is equally suggestive of blushed embarrassment and broiling rage. Hughes has poured paint directly from the tin, resulting in a warped appearance; the dripping chin of Red Faced suggests something altogether unfixed and unstable. Awarded Art Collections Purchase Prize 2014",paint (coating); medium-density fibreboard/materials (substances),NA,Art Collection; Edinburgh College of Art,sculpture; sculpture,NA,EU2965,https://collections.ed.ac.uk/art/record/47440?highlight=*:*,NA,NA,NA
David [Unknown],Untitled,Unknown,NA,"Green, red and black ink print showing a figure dressed in black with a red halo, crawling along a (forest?) floor",NA,33.2cm (H) x 40.6cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"Artists name is on the front of print but v. hard to read ""David ___""",EU2872,https://collections.ed.ac.uk/art/record/21990?highlight=*:*,NA,NA,NA
David Abbott,Jalvation cocktail (Green),2007,2000s,Screenprint channeling traditional signwriting combined with a slightly surreal seascape.,Print,NA,Art Collection; Edinburgh College of Art,screen prints,Edition 4/4,EU5115,https://collections.ed.ac.uk/art/record/99888?highlight=*:*,NA,NA,NA
David C Duke,Untitled,20 Feb 2014,21st century; 2010s,Black ink print of a figure sitting on a bed/ledge in front of a mirror,NA,29.5cm (H) x 27.5cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"Edition number and artists name on front, no information on back. ""A/P David Duke""",EU2871,https://collections.ed.ac.uk/art/record/21989?highlight=*:*,NA,NA,NA
David C Duke,Untitled,Unknown,NA,Black ink print of two figures reflected in a mirror,NA,36cm H x 28cm W,Art Collection; Edinburgh College of Art,prints (visual works),Edition no. and artist's name - A/P David Duke,EU2869,https://collections.ed.ac.uk/art/record/21987?highlight=*:*,NA,NA,NA
David C Duke,Untitled,Unknown,NA,Square print with several different patterns surrounding a woman's face. Black ink,NA,29cm H x 27cm W,Art Collection; Edinburgh College of Art,prints (visual works),edition no. and artist's name - A/P David Duke,EU2868,https://collections.ed.ac.uk/art/record/21986?highlight=*:*,NA,NA,NA
David C Duke,Untitled,Unknown,NA,"Black geometic print, with a lady in a frame signalling with her hands",NA,29.8cm (H) x 22cm (W),Art Collection; Edinburgh College of Art,prints (visual works),Edition and name: A/P David Duke,EU2861,https://collections.ed.ac.uk/art/record/21979?highlight=*:*,NA,NA,NA
David C Duke,Untitled,Unknown,NA,Black ink portrait of a woman (in a mirror?),NA,36.7cm (H) x 29.4cm (W),Art Collection; Edinburgh College of Art,prints (visual works),Edition no. and artists name - A/P David Duke,EU2862,https://collections.ed.ac.uk/art/record/21980?highlight=*:*,NA,NA,NA
David C Duke,Untitled,Unknown,NA,"Black ink print of a man sitting on an arm chair, next to a window",NA,40cm (H) x 27.5cm (W),Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),edition no and artist's name: A/P David Duke,EU2865,https://collections.ed.ac.uk/art/record/21983?highlight=*:*,NA,NA,NA
David C Duke,Blindfolded Woman at Arch,NA,NA,NA,Oil on Hardboard/oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3106,https://collections.ed.ac.uk/art/record/22551?highlight=*:*,NA,NA,NA
David C Duke,Untitled,NA,NA,NA,oil paint (paint)/paint (coating); wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3129,https://collections.ed.ac.uk/art/record/22574?highlight=*:*,NA,NA,NA
David C Duke,(n) (fr) Les Voyeurs,1984,1980s; 20th century,"Bllack-and-white print on paper of clothed male figures walking across the rear of a bleak interior scene, while nude male figues stand at the foreground.",paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,prints (visual works); print 1940-2000; etchings (prints); drawings 1901-2000,NA,EU4007,https://collections.ed.ac.uk/art/record/99247?highlight=*:*,NA,NA,NA
David Douglas,Untitled - Shoes and a Polka Dot Blouse,1983-1984,20th century; 1980s,"Black-and-white print of a woman wearing a dress and heels seen from the knees down standing on a pavement with a sheep figurine, pen and and paper, and a polka dot blouse.",Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4196,https://collections.ed.ac.uk/art/record/99432?highlight=*:*,NA,NA,NA
David Douglas,Untitled,Unknown,NA,Black ink drawing of a female nude lying on a bed. Ink line drawing on reverse,NA,54.5cm H x 66.3cm W (with mount) 50.7cm H x 63.5cm W (with mount),Art Collection; Edinburgh College of Art,ink; drawings (visual works),David douglas signature on mount.,EU2516,https://collections.ed.ac.uk/art/record/21641?highlight=*:*,NA,NA,NA
David Ewans,Portrait of a Woman,1954,20th century; 1950s,Drawing from ECA examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2088,https://collections.ed.ac.uk/art/record/21215?highlight=*:*,NA,NA,NA
David Ewans,Reclining Male Nude,1954,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2125,https://collections.ed.ac.uk/art/record/21252?highlight=*:*,NA,NA,NA
David Ewans,Seated Male Nude,1954,20th century; 1950s,Part of Diploma examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2101,https://collections.ed.ac.uk/art/record/21228?highlight=*:*,NA,NA,NA
David Freed,Ashes and Diamonds,Unknown,NA,NA,NA,82cm W x 107cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); lithographs,NA,EU2529,https://collections.ed.ac.uk/art/record/21654?highlight=*:*,NA,NA,NA
David Giblin,Still Life in White and Grey,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2393,https://collections.ed.ac.uk/art/record/21519?highlight=*:*,NA,NA,NA
David Giblin,Untitled,Unknown,NA,Portrait of a seated man,NA,60cm H x 42.5cm W,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,David Giblin on reverse,EU2510,https://collections.ed.ac.uk/art/record/21635?highlight=*:*,NA,NA,NA
David Hogg,Unknown,1973,1970s; 20th century,"Abstract landscape with black details on light background in lower half of composition, and white details on yellow and black background in upper half. White cross in upper-centre of composition.",Conté/Drawing; oil paint (paint)/paint (coating); mixed media/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3692,https://collections.ed.ac.uk/art/record/53601?highlight=*:*,NA,NA,NA
David Hosie,Untitled,1986,1980s,"Charcoal drawing of a surreal landscape, including imagery of a brick constructed room housing an oversized lightbult, and the room has an ear attached to it on the left. The room is positioned on a beach within the sand, and behind it we see fence like markers in the sand. In the sea is a sinking ship, and along it's edge we see the Artist's signature 'Hosie,' and the date 1986",charcoal (material)/plant material/materials (substances),NA,Art Collection; Art Collection; Edinburgh College of Art,drawings (visual works); drawings 1901-2000,Signature and date seen within the drawing on the edge of the boat in the background,EU4293,https://collections.ed.ac.uk/art/record/99529?highlight=*:*,NA,NA,NA
"David McClure (b.1926, d.1998)",Portrait of a Young Boy,1956,20th century; 1950s,"The young boy in the portrait is the artist's son, Robin McClure, in either Florence or Sicily.",paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2208,https://collections.ed.ac.uk/art/record/21334?highlight=*:*,NA,NA,NA
"David McClure (b.1926, d.1998)",Seated Woman,30 May 1949,20th century; 1940s,Gained his Diploma in 1951 and PG in 1952 from ECA. Executed during his second year at ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1912,https://collections.ed.ac.uk/art/record/21039?highlight=*:*,NA,NA,NA
"David McClure (b.1926, d.1998)",View of a Fair,1949,20th century; 1940s,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU2207,https://collections.ed.ac.uk/art/record/21333?highlight=*:*,NA,NA,NA
"David McClure (b.1926, d.1998)",John Stone,1950,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3221,https://collections.ed.ac.uk/art/record/22666?highlight=*:*,NA,NA,NA
David Michie,Female Nude,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2262,https://collections.ed.ac.uk/art/record/21388?highlight=*:*,NA,NA,NA
David Michie,Standing Male Nude,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2261,https://collections.ed.ac.uk/art/record/21387?highlight=*:*,NA,NA,NA
